,Departamento,Municipio,aguacate,arroz,cafe,cebollaC,papa
1083,Bolívar,Altos del Rosario,Exclusión legal,Aptitud baja,Exclusión legal,Aptitud baja,Exclusión legal
1084,Sucre,Corozal,Exclusión legal,Exclusión legal,Exclusión legal,No apta,Exclusión legal
1085,Bolívar,Margarita,Exclusión legal,Exclusión legal,Exclusión legal,Exclusión legal,Exclusión legal
1086,Bolívar,Cicuco,Exclusión legal,Exclusión legal,Exclusión legal,No apta,Exclusión legal
1087,Córdoba,Purísima,Exclusión legal,Exclusión legal,Exclusión legal,"Aptitud baja,Exclusión legal",Exclusión legal
1088,Córdoba,San Bernardo del Viento,No apta,Exclusión legal,Exclusión legal,No apta,No apta
1089,Sucre,San Juan de Betulia (Betulia),Exclusión legal,Exclusión legal,Exclusión legal,No apta,Exclusión legal
1090,Magdalena,San Zenón,Exclusión legal,No apta,Exclusión legal,No apta,Exclusión legal
1091,Magdalena,Nueva Granada,Exclusión legal,No apta,Exclusión legal,Aptitud baja,Exclusión legal
1092,Magdalena,Pijiño  del Carmen,Exclusión legal,Aptitud baja,Exclusión legal,No apta,Exclusión legal
1093,Magdalena,Ariguaní (El Difícil),Exclusión legal,Aptitud baja,Exclusión legal,No apta,Exclusión legal
1094,Magdalena,Ciénaga,No apta,No apta,Aptitud alta,Aptitud media,No apta
1095,Magdalena,Zona Bananera,Exclusión legal,Exclusión legal,"Aptitud baja,No apta",No apta,Exclusión legal
1096,Arauca,Arauquita,No apta,No apta,Exclusión legal,No apta,No apta
1097,Casanare,Paz de Ariporo,Exclusión legal,No apta,Exclusión legal,Aptitud media,Exclusión legal
1098,Santander,Zapatoca,No apta,Exclusión legal,No apta,Aptitud media,"No apta,Exclusión legal"
1099,Santander,Cerrito,"Aptitud media,No apta",Exclusión legal,No apta,No apta,No apta
1100,Boyacá,Paya,"Exclusión legal,No apta","Aptitud baja,No apta",Aptitud alta,"Aptitud alta,Exclusión legal","Exclusión legal,No apta"
1101,Casanare,Támara,"Aptitud baja,No apta",Aptitud media,Aptitud alta,Aptitud baja,Exclusión legal
1102,Santander,San Vicente de Chucurí,No apta,Aptitud media,Aptitud alta,Aptitud media,Exclusión legal
1103,Santander,Barrancabermeja,Exclusión legal,Aptitud baja,Exclusión legal,No apta,Exclusión legal
1104,Casanare,Orocué,"Exclusión legal,No apta",Aptitud media,Exclusión legal,Aptitud media,"No apta,Exclusión legal"
1105,Vichada,Santa Rosalía,Exclusión legal,No apta,Exclusión legal,Aptitud media,Exclusión legal
1106,Casanare,Nunchía,"Exclusión legal,No apta",No apta,Aptitud alta,Aptitud media,"No apta,Exclusión legal"
1107,Casanare,Hato Corozal,Exclusión legal,No apta,Exclusión legal,Aptitud media,Exclusión legal
1108,Boyacá,Güicán,"Aptitud media,Exclusión legal",No apta,No apta,No apta,"No apta,Aptitud media"
1109,Arauca,Arauca,No apta,No apta,No apta,Aptitud media,No apta
1110,Santander,Girón,Exclusión legal,"No apta,Aptitud media",No apta,Aptitud alta,Exclusión legal
1111,Bolívar,Cantagallo,"Exclusión legal,No apta","Aptitud baja,Aptitud media",Exclusión legal,"Exclusión legal,Aptitud media","No apta,Exclusión legal"
1112,Bolívar,Norosí,Exclusión legal,"Aptitud baja,Exclusión legal",Exclusión legal,"No apta,Aptitud baja",Exclusión legal
1113,Magdalena,El Banco,Exclusión legal,No apta,Exclusión legal,No apta,Exclusión legal
1114,Cesar,Chimichagua,Exclusión legal,Aptitud baja,Exclusión legal,Aptitud media,Exclusión legal
1115,Cesar,Chiriguaná,No apta,No apta,Aptitud alta,No apta,No apta
1116,Arauca,Cravo Norte,No apta,No apta,"No apta,Exclusión legal",No apta,No apta
1117,Huila,Altamira,No apta,Aptitud baja,No apta,No apta,No apta
1118,Antioquia,Caracolí,No apta,"No apta,Aptitud media","Aptitud media,Exclusión legal","Aptitud alta,Exclusión legal",No apta
1119,Bolívar,Soplaviento,No apta,No apta,Exclusión legal,"Aptitud media,No apta",No apta
1120,Atlántico,Usiacurí,No apta,No apta,Exclusión legal,Aptitud media,No apta
1121,Amazonas,Mirití-Paraná (Campoamor),Exclusión legal,"No apta,Aptitud baja",Exclusión legal,Exclusión legal,Exclusión legal
