,Departamento,Municipio,aguacate,arroz,cafe,cebollaC,papa
159,Nariño,Tumaco,No apta,No apta,Exclusión legal,No apta,No apta
160,Nariño,Magüí (Payán),Exclusión legal,Aptitud baja,Exclusión legal,Exclusión legal,Exclusión legal
161,Cauca,La Sierra,Aptitud media,Aptitud baja,"No apta,Aptitud media",No apta,"No apta,Exclusión legal"
162,Huila,Isnos,"Aptitud baja,Exclusión legal",Exclusión legal,Aptitud alta,"Aptitud media,Aptitud baja","No apta,Aptitud baja"
163,Boyacá,Campohermoso,Aptitud baja,Exclusión legal,Aptitud alta,Aptitud baja,Exclusión legal
164,Cauca,Rosas,No apta,"No apta,Exclusión legal",Aptitud alta,No apta,"No apta,Exclusión legal"
165,Cundinamarca,Girardot,No apta,No apta,No apta,"Aptitud baja,Exclusión legal",No apta
166,Amazonas,Puerto Nariño,No apta,Aptitud baja,Exclusión legal,Aptitud media,No apta
167,Huila,Garzón,No apta,No apta,Aptitud alta,No apta,No apta
168,Cauca,Patía (El Bordo),Exclusión legal,Exclusión legal,No apta,"No apta,Aptitud alta",Exclusión legal
169,Cauca,Sotará (Paispamba),Aptitud media,Exclusión legal,Aptitud media,"Aptitud media,Aptitud alta",No apta
170,Cauca,Timbío,No apta,No apta,Aptitud alta,No apta,Exclusión legal
171,Huila,Algeciras,No apta,No apta,Aptitud alta,No apta,No apta
172,Cauca,Cajibío,Aptitud alta,Exclusión legal,Aptitud alta,No apta,Exclusión legal
173,Vaupés,Pacoa (Corr. Departamental),Exclusión legal,Exclusión legal,Exclusión legal,Exclusión legal,Exclusión legal
174,Chocó,Quibdó,Exclusión legal,Exclusión legal,Exclusión legal,Exclusión legal,Exclusión legal
175,Guainía,Morichal (Morichal Nuevo),Exclusión legal,Exclusión legal,Exclusión legal,"No apta,Aptitud media",Exclusión legal
176,Guainía,Inírida,No apta,Aptitud baja,Exclusión legal,Exclusión legal,No apta
177,Meta,Villavicencio,Exclusión legal,No apta,No apta,No apta,Exclusión legal
178,Boyacá,La Capilla,"Aptitud alta,Exclusión legal",Exclusión legal,Aptitud alta,No apta,Aptitud media
179,Boyacá,Garagoa,"Aptitud alta,Exclusión legal",Exclusión legal,Aptitud alta,"Aptitud baja,Exclusión legal",Aptitud media
180,Cauca,Morales,No apta,Exclusión legal,Aptitud alta,No apta,Exclusión legal
181,Bolívar,Morales,Exclusión legal,Exclusión legal,"Aptitud baja,Exclusión legal","Aptitud media,Aptitud alta",Exclusión legal
182,Cauca,Piendamó,No apta,No apta,No apta,Aptitud media,No apta
183,Cauca,Caldono,"Aptitud baja,Exclusión legal","Aptitud baja,No apta",Aptitud alta,Aptitud alta,Aptitud baja
184,Caldas,Manizales,No apta,Exclusión legal,No apta,No apta,Exclusión legal
185,Risaralda,Belén de Umbría,"Aptitud media,Aptitud alta","Aptitud baja,Aptitud alta,No apta",No apta,No apta,Exclusión legal
186,Caldas,Neira,Exclusión legal,Exclusión legal,No apta,Exclusión legal,Exclusión legal
187,Boyacá,Miraflores,No apta,Exclusión legal,Aptitud alta,"Aptitud baja,Aptitud media",Aptitud media
188,Guaviare,Miraflores,No apta,No apta,No apta,No apta,No apta
189,Antioquia,Medellín,No apta,No apta,No apta,No apta,"Aptitud media,Aptitud alta"
190,Antioquia,Ebéjico,"Aptitud baja,Exclusión legal","No apta,Aptitud alta",Aptitud alta,"Aptitud media,No apta",Exclusión legal
191,Antioquia,Bello,No apta,Exclusión legal,No apta,No apta,Aptitud media
192,Antioquia,Barbosa,No apta,No apta,No apta,No apta,No apta
193,Santander,Barbosa,No apta,Exclusión legal,No apta,"Aptitud media,Aptitud alta,Aptitud baja,Exclusión legal",Exclusión legal
194,Antioquia,San Pedro,No apta,No apta,Exclusión legal,Aptitud alta,Aptitud alta
195,Valle del Cauca,San Pedro,"Aptitud media,Aptitud alta",No apta,No apta,Aptitud alta,Exclusión legal
196,Sucre,San Pedro,Exclusión legal,Exclusión legal,Exclusión legal,Aptitud baja,Exclusión legal
197,Cauca,Jambaló,Aptitud alta,Exclusión legal,Aptitud alta,No apta,No apta
198,Bolívar,Cartagena de Indias,No apta,No apta,No apta,No apta,No apta
199,Bolívar,Santa Catalina,No apta,Exclusión legal,No apta,No apta,No apta
200,Atlántico,Soledad,No apta,No apta,No apta,Aptitud media,No apta
201,Cundinamarca,Guasca,"Aptitud baja,Aptitud media",Exclusión legal,No apta,No apta,No apta
202,Cundinamarca,Gachetá,No apta,Exclusión legal,Exclusión legal,No apta,No apta
203,Boyacá,Guayatá,Aptitud media,Exclusión legal,Aptitud alta,Aptitud media,Aptitud alta
204,Cundinamarca,Manta,No apta,Exclusión legal,Aptitud alta,No apta,No apta
205,Boyacá,Tenza,No apta,No apta,Aptitud alta,"Aptitud media,Aptitud alta","Aptitud media,No apta"
206,Cundinamarca,Machetá,No apta,No apta,Aptitud alta,No apta,No apta
207,Cundinamarca,Nemocón,"Aptitud media,No apta",Exclusión legal,Exclusión legal,"No apta,Aptitud media",Aptitud media
208,Cundinamarca,Tausa,No apta,No apta,Exclusión legal,No apta,No apta
209,Boyacá,San Eduardo,"Aptitud baja,Exclusión legal",Exclusión legal,Aptitud alta,Aptitud baja,"No apta,Exclusión legal"
210,Nariño,Guaitarilla,"Aptitud media,Exclusión legal",Exclusión legal,Aptitud alta,No apta,"Aptitud alta,Exclusión legal"
211,Boyacá,Nuevo Colón,"Aptitud media,Exclusión legal","Exclusión legal,No apta","Aptitud baja,Exclusión legal",Aptitud media,Aptitud media
212,Huila,Palermo,"Aptitud alta,No apta",Aptitud baja,Aptitud alta,Aptitud media,Exclusión legal
213,Santander,Gámbita,No apta,Exclusión legal,No apta,Aptitud media,"No apta,Exclusión legal"
214,Santander,Sucre,No apta,"No apta,Exclusión legal",No apta,No apta,No apta
215,Cauca,Sucre,Aptitud media,Aptitud media,Aptitud alta,"Aptitud media,No apta","Aptitud baja,No apta"
216,Sucre,Sucre,Exclusión legal,Aptitud alta,Exclusión legal,Aptitud baja,Exclusión legal
217,Santander,Encino,Aptitud media,Exclusión legal,Aptitud alta,Aptitud media,"Aptitud media,Aptitud alta"
218,Santander,El Guacamayo,No apta,Exclusión legal,No apta,Aptitud media,Exclusión legal
219,Santander,Coromoro,Aptitud media,Exclusión legal,Aptitud alta,Aptitud media,Aptitud media
220,Cundinamarca,San Cayetano,Aptitud alta,Exclusión legal,No apta,"Aptitud baja,Exclusión legal",No apta
221,Norte de Santander,San Cayetano,Exclusión legal,Exclusión legal,Aptitud alta,"No apta,Aptitud media",Exclusión legal
222,Huila,Baraya,Aptitud media,"No apta,Exclusión legal",Aptitud alta,No apta,"No apta,Exclusión legal"
223,Santander,Enciso,"Exclusión legal,Aptitud baja",Exclusión legal,"Aptitud media,Aptitud alta",Aptitud alta,"Aptitud media,Aptitud baja"
224,Santander,Molagavita,Aptitud media,Exclusión legal,"Aptitud media,Exclusión legal","Aptitud baja,Exclusión legal",No apta
225,Santander,Galán,"Aptitud media,Aptitud alta",Exclusión legal,Aptitud alta,Aptitud media,Exclusión legal
226,Santander,Bucaramanga,No apta,No apta,Aptitud alta,No apta,No apta
227,Valle del Cauca,Restrepo,No apta,Exclusión legal,No apta,Exclusión legal,Exclusión legal
228,Meta,Restrepo,Exclusión legal,Aptitud alta,"Aptitud alta,Aptitud baja",No apta,Exclusión legal
229,Valle del Cauca,Buga,Aptitud media,No apta,No apta,No apta,No apta
230,La Guajira,Barrancas,No apta,"Exclusión legal,No apta",Aptitud alta,Aptitud media,No apta
231,La Guajira,Dibulla,No apta,No apta,No apta,No apta,No apta
232,La Guajira,Albania,No apta,No apta,No apta,No apta,No apta
233,Santander,Albania,No apta,Exclusión legal,No apta,"No apta,Aptitud alta",Aptitud alta
234,Caquetá,Albania,Exclusión legal,No apta,Exclusión legal,No apta,Exclusión legal
235,La Guajira,Maicao,No apta,No apta,No apta,No apta,No apta
236,La Guajira,Manaure,No apta,Exclusión legal,Exclusión legal,"No apta,Aptitud baja",No apta
237,Amazonas,Puerto Alegría,No apta,"Aptitud baja,Aptitud media",Exclusión legal,"No apta,Aptitud baja,Aptitud media,Exclusión legal",No apta
238,Cundinamarca,Cabrera,Aptitud media,Exclusión legal,No apta,"Exclusión legal,Aptitud alta","Aptitud baja,Exclusión legal"
239,Santander,Cabrera,"Exclusión legal,No apta","Exclusión legal,No apta",Aptitud alta,Aptitud media,"No apta,Exclusión legal"
240,Tolima,Chaparral,Exclusión legal,Exclusión legal,Aptitud alta,Aptitud media,Exclusión legal
241,Cundinamarca,Pasca,No apta,"No apta,Exclusión legal",No apta,No apta,"Aptitud media,Exclusión legal"
242,Valle del Cauca,Sevilla,Aptitud alta,No apta,No apta,No apta,No apta
243,Cundinamarca,Une,"Aptitud alta,Exclusión legal",Exclusión legal,"Aptitud media,Aptitud baja","Aptitud media,No apta",No apta
244,Chocó,Rio Quito (Paimadó),Exclusión legal,No apta,Exclusión legal,Exclusión legal,Exclusión legal
245,Chocó,Bahía Solano (Mutis),No apta,Aptitud baja,Exclusión legal,Exclusión legal,No apta
246,Risaralda,Pereira,Exclusión legal,Exclusión legal,No apta,No apta,Exclusión legal
247,Putumayo,Valle del Guamuez (La Hormiga),No apta,No apta,Exclusión legal,No apta,No apta
248,Putumayo,Puerto Asís,No apta,Aptitud media,Exclusión legal,Aptitud media,No apta
249,Putumayo,Puerto Leguízamo,No apta,Aptitud baja,No apta,Aptitud baja,No apta
250,Nariño,Ipiales,No apta,No apta,Exclusión legal,No apta,No apta
251,Boyacá,Ramiriquí,No apta,"Exclusión legal,No apta","Exclusión legal,No apta",No apta,No apta
252,Risaralda,Dosquebradas,No apta,Exclusión legal,No apta,No apta,Exclusión legal
253,Nariño,Contadero,"Aptitud media,Exclusión legal,Aptitud alta",Exclusión legal,No apta,"Aptitud baja,Exclusión legal",No apta
254,Putumayo,Puerto Guzmán,Exclusión legal,Aptitud baja,Exclusión legal,Aptitud baja,Exclusión legal
255,Nariño,Cumbal,No apta,No apta,No apta,No apta,No apta
256,Putumayo,Colón,Exclusión legal,Exclusión legal,Exclusión legal,"Aptitud media,Aptitud alta",Exclusión legal
257,Santander,Guaca,Aptitud media,Exclusión legal,Aptitud alta,Aptitud media,No apta
258,Risaralda,La Celia,"Aptitud media,Exclusión legal","Aptitud alta,No apta",No apta,"Aptitud alta,Exclusión legal",Exclusión legal
259,Nariño,La Llanada,"Aptitud baja,Exclusión legal",No apta,Aptitud alta,Aptitud baja,"Aptitud media,Aptitud baja"
260,Nariño,La Unión,"Aptitud baja,Exclusión legal","Aptitud baja,Aptitud media",Aptitud alta,Aptitud media,"Aptitud alta,Aptitud media"
261,Antioquia,La Unión,No apta,Exclusión legal,"Aptitud baja,Exclusión legal","Aptitud media,Exclusión legal",No apta
262,Valle del Cauca,La Unión,Exclusión legal,Exclusión legal,"Aptitud baja,Exclusión legal",Aptitud alta,Exclusión legal
263,Sucre,La Unión,Exclusión legal,No apta,Exclusión legal,No apta,Exclusión legal
264,Cauca,San Sebastián,Exclusión legal,Exclusión legal,Aptitud alta,No apta,No apta
265,Magdalena,Remolino,No apta,No apta,Exclusión legal,No apta,No apta
266,Nariño,Barbacoas,No apta,No apta,No apta,No apta,No apta
267,Nariño,Los Andes (Sotomayor),"No apta,Aptitud baja","Aptitud baja,No apta",Aptitud alta,"Aptitud baja,Aptitud alta","Aptitud media,Exclusión legal"
268,Risaralda,Marsella,Aptitud alta,Exclusión legal,No apta,No apta,Exclusión legal
269,Caldas,Aranzazu,No apta,Exclusión legal,"Aptitud baja,Aptitud media",Exclusión legal,Exclusión legal
270,Risaralda,Guática,No apta,Exclusión legal,No apta,No apta,Exclusión legal
271,Cauca,Santa Rosa,No apta,"Aptitud alta,Aptitud media",No apta,No apta,No apta
272,Bolívar,Santa Rosa,Exclusión legal,Exclusión legal,No apta,No apta,Exclusión legal
273,Cauca,Mercaderes,"No apta,Aptitud baja",Aptitud baja,Aptitud alta,"Aptitud baja,Exclusión legal",Exclusión legal
274,Boyacá,Aquitania,"Exclusión legal,Aptitud alta",No apta,No apta,No apta,No apta
275,Caldas,Riosucio,No apta,Exclusión legal,Aptitud alta,No apta,Aptitud media
276,Chocó,Riosucio,No apta,No apta,No apta,No apta,No apta
277,Cundinamarca,Guayabal de Síquima,No apta,"Aptitud baja,No apta",No apta,Aptitud media,Aptitud media
278,Cundinamarca,Vianí,Aptitud alta,Aptitud baja,No apta,No apta,Exclusión legal
279,Cundinamarca,Sasaima,No apta,No apta,No apta,No apta,"Aptitud baja,No apta"
280,Huila,Timaná,Aptitud baja,No apta,No apta,No apta,Exclusión legal
281,Huila,Guadalupe,"No apta,Aptitud baja",Aptitud baja,Aptitud media,No apta,Exclusión legal
282,Antioquia,Guadalupe,"Aptitud alta,Exclusión legal",Exclusión legal,Aptitud alta,No apta,Exclusión legal
283,Santander,Guadalupe,No apta,"No apta,Exclusión legal",Aptitud alta,No apta,"No apta,Exclusión legal"
284,Antioquia,La Ceja,No apta,Exclusión legal,No apta,No apta,Aptitud alta
285,Antioquia,Caldas,No apta,Exclusión legal,No apta,No apta,Exclusión legal
286,Boyacá,Caldas,No apta,Exclusión legal,Exclusión legal,Aptitud alta,"Aptitud media,Aptitud baja"
287,Antioquia,Angelópolis,"Exclusión legal,Aptitud baja","Exclusión legal,No apta","Aptitud media,Exclusión legal","Aptitud baja,No apta","No apta,Exclusión legal"
288,Huila,Oporapa,"Aptitud baja,Exclusión legal",No apta,Aptitud alta,No apta,No apta
289,Boyacá,Pesca,No apta,No apta,No apta,No apta,No apta
290,Antioquia,Guarne,No apta,No apta,No apta,No apta,No apta
291,Huila,Gigante,No apta,No apta,Aptitud alta,No apta,No apta
292,Cauca,Totoró,No apta,Exclusión legal,Aptitud alta,No apta,No apta
293,Antioquia,Don Matías,"Aptitud alta,Aptitud baja",No apta,No apta,No apta,"No apta,Aptitud alta,Aptitud media"
294,Antioquia,Entrerrios,Aptitud baja,Exclusión legal,"Exclusión legal,Aptitud media",Aptitud alta,Aptitud alta
295,Antioquia,Giraldo,No apta,Exclusión legal,Aptitud alta,"Aptitud baja,Aptitud media",No apta
296,Meta,La Macarena,No apta,No apta,No apta,No apta,No apta
297,Antioquia,Carolina,Aptitud media,"Exclusión legal,No apta",No apta,Aptitud alta,"Aptitud media,No apta"
298,Antioquia,Santa Rosa de Osos,Aptitud media,Aptitud media,No apta,No apta,No apta
299,Antioquia,San José de la Montaña,No apta,Exclusión legal,"No apta,Exclusión legal",No apta,"Aptitud baja,Exclusión legal"
300,Antioquia,San Luis,Exclusión legal,No apta,"Aptitud baja,Exclusión legal",No apta,Exclusión legal
301,Tolima,San Luis,Exclusión legal,"No apta,Exclusión legal","Aptitud media,Exclusión legal","Aptitud baja,Exclusión legal",Exclusión legal
302,Antioquia,San Carlos,Exclusión legal,"Aptitud baja,Aptitud media",Aptitud alta,Exclusión legal,Exclusión legal
303,Córdoba,San Carlos,Exclusión legal,Aptitud baja,Exclusión legal,Aptitud media,Exclusión legal
304,Chocó,Unguía,No apta,"Exclusión legal,Aptitud baja",No apta,No apta,No apta
305,Chocó,Acandí,No apta,No apta,Exclusión legal,No apta,No apta
306,Boyacá,Ventaquemada,Exclusión legal,Exclusión legal,"Aptitud alta,Aptitud baja",No apta,No apta
307,Córdoba,Montelíbano,Exclusión legal,No apta,Exclusión legal,No apta,Exclusión legal
308,Antioquia,Nechí,Exclusión legal,No apta,Exclusión legal,Exclusión legal,Exclusión legal
309,Sucre,Tolú,No apta,No apta,No apta,No apta,No apta
310,Bolívar,Arjona,Exclusión legal,Exclusión legal,Exclusión legal,"Aptitud alta,Exclusión legal",Exclusión legal
311,Boyacá,Zetaquirá,No apta,Exclusión legal,Aptitud alta,"Aptitud baja,No apta",Aptitud media
312,Boyacá,Labranzagrande,Aptitud baja,Exclusión legal,"Aptitud baja,Aptitud media",Aptitud baja,"Aptitud media,No apta"
313,Boyacá,Rondón,No apta,Exclusión legal,Aptitud alta,Exclusión legal,No apta
314,Cundinamarca,Carmen de Carupa,"Exclusión legal,No apta",Exclusión legal,Exclusión legal,No apta,No apta
315,Boyacá,Tuta,No apta,No apta,No apta,Aptitud media,No apta
316,Boyacá,Boyacá,No apta,"Exclusión legal,No apta","Exclusión legal,No apta,Aptitud baja","Aptitud baja,Exclusión legal",Aptitud alta
317,Boyacá,Buenavista,No apta,Exclusión legal,Aptitud alta,Aptitud media,Aptitud alta
318,Quindío,Buenavista,No apta,No apta,Aptitud media,No apta,Exclusión legal
319,Córdoba,Buenavista,Exclusión legal,No apta,Exclusión legal,No apta,Exclusión legal
320,Sucre,Buenavista,Exclusión legal,Exclusión legal,Exclusión legal,"Aptitud alta,Exclusión legal",Exclusión legal
321,Boyacá,Samacá,No apta,No apta,No apta,No apta,No apta
322,Boyacá,Tunja,"Aptitud media,Aptitud alta",No apta,No apta,Aptitud media,"Aptitud alta,Exclusión legal"
323,Boyacá,San Miguel de Sema,"Aptitud alta,Aptitud media","Exclusión legal,No apta","No apta,Exclusión legal",Aptitud alta,Aptitud media
324,Boyacá,Sogamoso,No apta,Exclusión legal,Exclusión legal,No apta,No apta
325,Boyacá,Saboyá,Aptitud alta,Exclusión legal,"Aptitud media,Aptitud baja",No apta,"Aptitud alta,Aptitud media"
326,Boyacá,Firavitoba,"Aptitud media,No apta",Exclusión legal,Exclusión legal,No apta,No apta
327,Boyacá,Nobsa,No apta,Exclusión legal,Exclusión legal,No apta,No apta
328,Boyacá,Floresta,Aptitud media,Exclusión legal,Exclusión legal,No apta,"Aptitud media,Exclusión legal"
329,Santander,Jesús María,No apta,"No apta,Exclusión legal",No apta,Aptitud media,"No apta,Aptitud media"
330,Boyacá,Moniquirá,"Aptitud baja,Exclusión legal",No apta,No apta,No apta,No apta
331,Boyacá,Paipa,No apta,Exclusión legal,"Aptitud media,Aptitud alta","Aptitud alta,Exclusión legal",No apta
332,Boyacá,San José de Pare,No apta,No apta,Aptitud alta,Aptitud media,No apta
333,Santander,Páramo,"Aptitud baja,Aptitud media",Exclusión legal,No apta,"Aptitud alta,Aptitud media",Exclusión legal
334,Santander,Santa Helena del Opón,"Aptitud media,Aptitud alta","No apta,Aptitud baja",No apta,Aptitud baja,Exclusión legal
335,Cauca,Toribío,No apta,No apta,Aptitud alta,No apta,No apta
336,Cauca,Timbiquí,No apta,Aptitud baja,Exclusión legal,Exclusión legal,No apta
337,Santander,Vélez,No apta,Exclusión legal,No apta,Aptitud media,Exclusión legal
338,Santander,Macaravita,No apta,"No apta,Exclusión legal","Aptitud media,Aptitud alta",Aptitud alta,"Exclusión legal,Aptitud alta"
339,Santander,Capitanejo,Aptitud media,No apta,No apta,"No apta,Aptitud alta","No apta,Aptitud media"
340,Arauca,Fortul,Exclusión legal,No apta,Exclusión legal,No apta,Exclusión legal
341,Caquetá,San Vicente del Caguán,No apta,Aptitud baja,Aptitud alta,No apta,No apta
342,Huila,Teruel,No apta,"Aptitud media,Exclusión legal",Aptitud alta,"Aptitud alta,Exclusión legal",No apta
343,Santander,Matanza,Aptitud media,Exclusión legal,"Aptitud baja,Exclusión legal",Aptitud media,Aptitud baja
344,Norte de Santander,Pamplonita,Aptitud media,Exclusión legal,Aptitud alta,Aptitud media,Aptitud baja
345,Cesar,San Alberto,Exclusión legal,"Aptitud media,Exclusión legal",No apta,No apta,Exclusión legal
346,Valle del Cauca,Pradera,Exclusión legal,Exclusión legal,Aptitud alta,Aptitud media,Exclusión legal
347,Valle del Cauca,Cali,No apta,No apta,"Aptitud media,Aptitud alta",No apta,No apta
348,Boyacá,Corrales,Aptitud media,"No apta,Exclusión legal",Exclusión legal,No apta,Aptitud media
349,Boyacá,Togüí,"No apta,Aptitud media",Exclusión legal,Aptitud alta,Aptitud media,"Aptitud media,Exclusión legal"
350,Norte de Santander,Ragonvalia,No apta,"Exclusión legal,No apta",Aptitud alta,Aptitud media,No apta
351,Norte de Santander,Bochalema,No apta,Exclusión legal,No apta,Aptitud media,"No apta,Aptitud alta,Exclusión legal"
352,Norte de Santander,Ocaña,"Exclusión legal,Aptitud alta",Exclusión legal,Aptitud alta,Aptitud alta,Exclusión legal
353,Norte de Santander,Cúcuta,No apta,No apta,Exclusión legal,No apta,No apta
354,Norte de Santander,Teorama,No apta,No apta,Aptitud alta,No apta,No apta
355,Valle del Cauca,Yumbo,"Aptitud media,Aptitud baja",No apta,No apta,"Aptitud baja,Exclusión legal",No apta
356,Boyacá,Duitama,No apta,Exclusión legal,Exclusión legal,"Exclusión legal,Aptitud alta","Aptitud media,Exclusión legal"
357,La Guajira,Urumita,No apta,No apta,Aptitud alta,"No apta,Aptitud alta",No apta
358,Valle del Cauca,Buenaventura,No apta,No apta,No apta,No apta,No apta
359,Boyacá,Socha,No apta,"No apta,Exclusión legal",Exclusión legal,"Exclusión legal,Aptitud alta","Aptitud alta,Aptitud media,Exclusión legal"
360,La Guajira,Villanueva,"Exclusión legal,Aptitud media",No apta,Aptitud alta,Aptitud media,No apta
361,Bolívar,Villanueva,"Exclusión legal,No apta","No apta,Exclusión legal",Exclusión legal,"Aptitud baja,Aptitud alta","No apta,Exclusión legal"
362,Santander,Villanueva,"Exclusión legal,No apta","Exclusión legal,No apta",Aptitud alta,No apta,"No apta,Exclusión legal"
363,Casanare,Villanueva,Exclusión legal,No apta,Exclusión legal,Aptitud media,Exclusión legal
364,Nariño,Ricaurte,Exclusión legal,Exclusión legal,Exclusión legal,Exclusión legal,Exclusión legal
365,Cundinamarca,Ricaurte,Exclusión legal,Exclusión legal,No apta,No apta,Exclusión legal
366,Caquetá,Cartagena del Chairá,No apta,Aptitud baja,No apta,No apta,No apta
367,Caquetá,San José del Fragua,Exclusión legal,Aptitud baja,No apta,Aptitud baja,Exclusión legal
368,Cauca,Piamonte,Exclusión legal,Aptitud baja,Exclusión legal,Exclusión legal,Exclusión legal
369,Huila,Acevedo,No apta,No apta,Aptitud alta,No apta,No apta
370,Arauca,Saravena,No apta,No apta,Exclusión legal,No apta,No apta
371,Valle del Cauca,El Dovio,No apta,No apta,No apta,"Aptitud alta,Exclusión legal",No apta
372,Cundinamarca,Tocaima,Exclusión legal,Exclusión legal,"No apta,Aptitud baja",No apta,Exclusión legal
373,Cundinamarca,El Colegio,Aptitud media,Exclusión legal,Aptitud alta,"Aptitud alta,Exclusión legal","Exclusión legal,Aptitud media"
374,Cundinamarca,Soacha,Aptitud media,Exclusión legal,Exclusión legal,No apta,No apta
375,Cundinamarca,Anapoima,Exclusión legal,Exclusión legal,Aptitud alta,No apta,Exclusión legal
376,Quindío,Quimbaya,Exclusión legal,"Aptitud media,Exclusión legal",No apta,No apta,Exclusión legal
377,Huila,San Agustín,No apta,"Aptitud baja,Aptitud media",No apta,No apta,No apta
378,Nariño,Roberto Payán (San José),No apta,Aptitud baja,No apta,No apta,No apta
379,Huila,Saladoblanco,No apta,No apta,Aptitud alta,"Aptitud baja,Aptitud media",No apta
380,Valle del Cauca,Obando,"No apta,Aptitud media,Aptitud alta",Exclusión legal,"Aptitud media,Exclusión legal",Aptitud alta,Exclusión legal
381,Quindío,Circasia,No apta,Exclusión legal,No apta,No apta,Exclusión legal
382,Cundinamarca,Tena,"No apta,Aptitud alta",Exclusión legal,Aptitud alta,"No apta,Aptitud media",Aptitud alta
383,Tolima,Ibagué,"No apta,Aptitud alta",Exclusión legal,No apta,No apta,Exclusión legal
384,Valle del Cauca,Versalles,"Exclusión legal,Aptitud alta",No apta,No apta,No apta,No apta
385,Cundinamarca,Mosquera,Exclusión legal,Exclusión legal,Exclusión legal,No apta,No apta
386,Nariño,Mosquera,No apta,"Aptitud media,Exclusión legal,Aptitud baja","Exclusión legal,No apta",No apta,No apta
387,Quindío,Filandia,"Aptitud alta,Aptitud media",No apta,No apta,No apta,Exclusión legal
388,Cundinamarca,"Bogotá, D. C.",No apta,No apta,No apta,No apta,No apta
389,Boyacá,Socotá,No apta,No apta,"Aptitud alta,Aptitud media","Exclusión legal,Aptitud alta",No apta
390,Chocó,Istmina,Exclusión legal,Aptitud baja,Exclusión legal,Exclusión legal,Exclusión legal
391,Chocó,Bajo Baudó (Pizarro),No apta,Exclusión legal,Exclusión legal,Exclusión legal,No apta
392,Cauca,Villa Rica,Exclusión legal,"Aptitud alta,Exclusión legal",Exclusión legal,"Aptitud alta,Aptitud media",Exclusión legal
393,Amazonas,Tarapacá,No apta,"Aptitud media,Exclusión legal",Exclusión legal,"Aptitud media,Exclusión legal",No apta
394,Amazonas,El Encanto,No apta,No apta,Exclusión legal,Aptitud media,No apta
395,Amazonas,Puerto Arica,No apta,No apta,No apta,"Aptitud baja,Exclusión legal",No apta
396,Amazonas,La Pedrera,No apta,No apta,No apta,"Exclusión legal,Aptitud baja",No apta
397,Vaupés,Taraira,No apta,No apta,No apta,No apta,No apta
398,Casanare,Sácama,"Aptitud baja,Exclusión legal",Aptitud baja,"Aptitud baja,Aptitud media",Aptitud baja,Exclusión legal
399,Nariño,Santa Bárbara (Iscuandé),No apta,No apta,Exclusión legal,No apta,No apta
400,Huila,Tesalia,Aptitud media,Aptitud baja,Aptitud alta,Aptitud media,No apta
401,Huila,Nátaga,Aptitud media,"Aptitud baja,Aptitud alta,Exclusión legal",Aptitud alta,No apta,"Aptitud baja,No apta,Exclusión legal"
402,Nariño,El Charco,No apta,Aptitud media,Exclusión legal,Aptitud baja,No apta
403,Santander,Chima,"Aptitud baja,Exclusión legal",No apta,No apta,No apta,No apta
404,Córdoba,Chima,Exclusión legal,Exclusión legal,Exclusión legal,No apta,Exclusión legal
405,Huila,Santa María,No apta,Exclusión legal,Aptitud alta,No apta,Aptitud baja
406,Boyacá,Santa María,"No apta,Exclusión legal","No apta,Aptitud baja","Aptitud alta,Aptitud media","No apta,Exclusión legal","No apta,Exclusión legal"
407,Guainía,La Guadalupe,No apta,"Exclusión legal,No apta",Exclusión legal,"No apta,Exclusión legal",No apta
408,Vaupés,Carurú,No apta,No apta,No apta,No apta,No apta
409,Cauca,Santander de Quilichao,"No apta,Aptitud media",No apta,Aptitud alta,Aptitud media,Exclusión legal
410,Cauca,Padilla,Exclusión legal,"No apta,Aptitud media",No apta,"Aptitud media,Exclusión legal",Exclusión legal
411,Cauca,Puerto Tejada,Exclusión legal,No apta,Exclusión legal,Aptitud media,Exclusión legal
412,Huila,Aipe,"No apta,Aptitud baja","Exclusión legal,Aptitud baja",Aptitud alta,Aptitud alta,Exclusión legal
413,Guaviare,El Retorno,No apta,No apta,No apta,No apta,No apta
414,Guainía,San Felipe,No apta,"Exclusión legal,No apta","No apta,Exclusión legal","No apta,Exclusión legal",No apta
415,Meta,Puerto Concordia,No apta,No apta,No apta,No apta,No apta
416,Valle del Cauca,Dagua,No apta,"Aptitud baja,Aptitud media",No apta,No apta,No apta
417,Guainía,Puerto Colombia,No apta,Aptitud baja,Exclusión legal,Exclusión legal,No apta
418,Atlántico,Puerto Colombia,No apta,No apta,No apta,No apta,No apta
419,Meta,Uribe,No apta,No apta,"Aptitud media,Exclusión legal",No apta,No apta
420,Meta,San Juan de Arama,No apta,No apta,"Aptitud baja,Aptitud media",No apta,No apta
421,Meta,Cubarral,Exclusión legal,Aptitud alta,Aptitud alta,"Aptitud media,No apta",Exclusión legal
422,Meta,Acacías,Exclusión legal,No apta,No apta,No apta,Exclusión legal
423,Boyacá,La Uvita,"No apta,Aptitud baja",Exclusión legal,Exclusión legal,"No apta,Aptitud alta",No apta
424,Casanare,La Salina,"Aptitud baja,No apta",Exclusión legal,No apta,Exclusión legal,Exclusión legal
425,Valle del Cauca,Calima (El Darién),No apta,No apta,No apta,No apta,No apta
426,Tolima,Cunday,Exclusión legal,Exclusión legal,Aptitud alta,Exclusión legal,Exclusión legal
